task,level,n_demos,batch,env,success,variant,obj_x,obj_y,obj_yaw,goal_x,goal_y,local_rej,nn_demo_dist,cab_x,cab_y,cab_dyaw,bearing
T1,L1,400,4,18,True,-1,0.6461172103881836,-0.2079160213470459,-1.2212336852843328,0.5,0.25,0.31999999999999995,0.3224601793205755,,,,
T1,L1,400,4,19,True,-1,0.4366440773010254,-0.15762996673583984,1.1258329438837613,0.5,0.25,0.19999999999999996,0.2888166301134636,,,,
T1,L1,100,0,0,False,-1,0.4199199676513672,0.06320595741271973,0.015568162379218905,0.5,0.25,0.19999999999999996,0.3575149724281647,,,,
T1,L1,100,0,1,False,-1,0.5251350402832031,-0.23926901817321777,-0.6328264991137028,0.5,0.25,0.12,0.5230841724810844,,,,
T1,L1,100,0,2,True,-1,0.5539398193359375,-0.2344609498977661,0.9449733329048506,0.5,0.25,0.040000000000000036,0.3566214571004273,,,,
T1,L1,100,0,3,True,-1,0.45444822311401367,-0.1770169734954834,-1.496712218063705,0.5,0.25,0.16000000000000003,0.171960860125994,,,,
T1,L1,100,0,4,False,-1,0.3772261142730713,-0.04526996612548828,-0.7794043740082593,0.5,0.25,0.19999999999999996,0.5947093054681118,,,,
T1,L1,100,0,5,True,-1,0.47615504264831543,-0.1391589641571045,-0.8314973599042816,0.5,0.25,0.12,0.3774348593994877,,,,
T1,L1,100,0,6,False,-1,0.42728304862976074,0.06062805652618408,0.04037873397655124,0.5,0.25,0.12,0.38887669277405,,,,
T1,L1,100,0,7,True,-1,0.422792911529541,-0.09509611129760742,1.3049151300091353,0.5,0.25,0.16000000000000003,0.47987615863235494,,,,
T1,L1,100,0,8,True,-1,0.5408880114555359,-0.06334304809570312,-0.019350297280012925,0.5,0.25,0.16000000000000003,0.5418589686991442,,,,
T1,L1,100,0,9,False,-1,0.5538560152053833,-0.12046194076538086,0.152052376545993,0.5,0.25,0.24,0.6986016036472998,,,,
T1,L1,100,0,10,False,-1,0.44010499119758606,0.1084059476852417,1.0659546578986474,0.5,0.25,0.0,0.345238439000311,,,,
T1,L1,100,0,11,False,-1,0.4031830132007599,0.13948488235473633,1.302472530594698,0.5,0.25,0.040000000000000036,0.754993643912758,,,,
